Count,Street Address,City,State,Zip,Status,Category,Summary,Description,Created Date,Closed Date,Days to Acknowledged,Days to Closed,Reported Via Mobile App,Report ID
"0",,"Chelsea","MA",,"Archived","Other",,,"2011-08-31","09/20/2011","0","0","No","0"
"1","Commandants Way","Chelsea","MA","2150","Archived","Street lights","Lights Out","Some of the lights are on and some do not seem to be on during the evening.","2011-11-15","12/12/2011","21.9333","27.2368","No","139338"
"1","114-150 Marginal St","Chelsea","MA","2150","Archived","Pothole","Pothole","0","2011-08-31","09/20/2011","5.9479","19.8993","Yes","122680"
"1","691 Broadway","Chelsea","MA","2150","Archived","Other","Rat problem","huge rats coming out of trash at 691 broadway and out of their house, needs to be extreminated badly afraid therats will bite my children playing close to this home. please chek this house and talk to the owners","2011-09-01","06/27/2012","4.6181","299.6972","No","123061"
"1","9 Orange St","Chelsea","MA","2150","Archived","Pothole","Sink Hole","Former sink hole, recently filled has reemerged.","2011-08-31","09/20/2011","5.9868","19.9375","No","122649"
"1","212 Carter St","Chelsea","MA","2150","Archived","Street signs","Street signs","Corner of carter st at jess gas station.no turn on Red sign needs to be re-attach.","2011-09-27","10/11/2011","0.0319","14.1368","Yes","128546"
"1","500 broadway","Chelsea","MA","2150","Archived","Trash on Public Property","test","test","2011-09-06","12/06/2011","0","91.2368","No","123642"
"1","9 orange st","Chelsea","MA","2150","Archived","Other","Illegal basement rooms","0","2011-09-11","01/11/2012","1.7285","121.9319","No","124797"
"1","1-11 Dudley St","Chelsea","MA","2150","Archived","Trash on Public Property","Trash","There are 3 unregistered cars and a collection of trash outside the commercial building at the corner of Dudley and Villa","2011-09-12","06/13/2013","0.7139","639.691","Yes","125128"
"1","1 Heard Street","Chelsea","MA","2150","Archived","Trash on Public Property","trash not picked up on 9/21/","pickup was today and trash is still ther ar 5:34 p.m.","2011-09-21","09/27/2011","0","5.7139","No","127316"
